0,title,url,stage,date,start_time,end_time
54,AKIRA,https://coventgardenentertainment.co.uk/performers/akira-street-performer/,SENSATION SEEKERS STAGE,25/06/2023,12:30,13:00
55,AL LEWIS,https://www.allewismusic.com/,ACOUSTIC STAGE,23/06/2023,11:30,12:00
56,ALABASTER DEPLUME,https://www.instagram.com/alabaster_deplume/?hl=en,THE PARK STAGE,23/06/2023,12:45,13:30
57,ALEX HALL,https://alexhallmusic.co.uk/,THE LIZARD STAGE,24/06/2023,19:00,20:00
58,ALEX HALL,https://www.alexhallmusic.co.uk/,BREAD AND ROSES,22/06/2023,12:00,12:40
59,ALEX REX,https://alexrex.bandcamp.com/,THE BANDSTAND,24/06/2023,16:00,16:40
60,ALEXISITRY X WONKA,https://www.instagram.com/alexisitry/,NOWHERE,23/06/2023,19:00,20:00
61,ALIJI,https://www.facebook.com/alijimusic/,GLADE DOME,25/06/2023,18:55,20:05
62,ALISON GOLDFRAPP,https://www.goldfrapp.com/,THE PARK STAGE,25/06/2023,18:15,19:15
63,ALISTAIR BARRIE (COMPERE),http://www.alistairbarrie.com/,CABARET,23/06/2023,15:30,19:00
64,ALISTAIR BARRIE (COMPERE),http://www.alistairbarrie.com/,CABARET,24/06/2023,15:30,19:00
65,ALLISON RUSSELL,https://www.facebook.com/allisonrussellmusic/,ACOUSTIC STAGE,23/06/2023,12:10,12:40
66,ALMA TWIST,https://soundcloud.com/katrynaabel,THE LIZARD STAGE,24/06/2023,17:30,18:30
67,ALPS 2,https://alps2.bandcamp.com/,STRUMMERVILLE,24/06/2023,22:30,00:00
68,ALT BLK ERA (EARACHE RECORDS TAKEOVER),https://www.altblkera.com/,TRUTH STAGE,22/06/2023,02:30,03:00
69,ALT-J,https://www.altjband.com/,THE PARK STAGE,25/06/2023,21:15,22:30
70,ALTAR X TEEZLE,https://www.instagram.com/t_for_teezle/,BABYLON UPRISING,23/06/2023,01:30,02:45
71,ALTERN 8 (BLENDID TAKEOVER),https://www.altern8official.com/,CORNISH ARMS,24/06/2023,16:00,17:00
72,ALTERN 8 B2B SHADOW CHILD,https://www.instagram.com/altern8official/,THE TEMPLE,23/06/2023,05:00,06:00
73,ALTERN8 / MARK ARCHER,https://www.instagram.com/altern8official/,BABYLON UPRISING,24/06/2023,19:00,20:00
74,ALYONA ALYONA,https://www.instagram.com/alyona.alyona.official/,THE RUM SHACK,22/06/2023,20:30,21:30
75,AMA,https://amadj.co.uk/,GLADE DOME,22/06/2023,14:00,15:00
76,AMA,https://www.instagram.com/amadjuk/,THE TEMPLE,25/06/2023,22:00,23:00
77,AMADOU & MARIAM,https://www.instagram.com/amadouetmariam/,PYRAMID STAGE,24/06/2023,14:30,15:30
78,AMATEURISM,https://www.amateurism.co.uk,SAN REMO,24/06/2023,12:00,14:00
79,AMAZING CAMERA OBSCURA,http://www.amazingcameraobscura.co.uk,BELLA'S FIELD,22/06/2023,12:00,16:00
80,AMAZING CAMERA OBSCURA,http://www.amazingcameraobscura.co.uk,BELLA'S FIELD,23/06/2023,12:00,16:00
81,AMAZING CAMERA OBSCURA,http://www.amazingcameraobscura.co.uk,BELLA'S FIELD,24/06/2023,12:00,16:00
82,AMAZING CAMERA OBSCURA,http://www.amazingcameraobscura.co.uk,BELLA'S FIELD,25/06/2023,12:00,16:00
83,AMIE BLU,https://www.instagram.com/amiebluu/,GREENPEACE,22/06/2023,13:45,14:30
84,AMONGST THE PIGEONS,,RIMSKI'S YARD,23/06/2023,18:00,TBA
85,"AN AUDIENCE WITH...KERRY GODLIMAN, HOSTED BY GUY LLOYD",,CABARET,23/06/2023,13:35,14:30
86,"AN AUDIENCE WITH...STEPHEN K. AMOS, HOSTED BY PROFESSOR SHAWN NAPHTALI SOBERS",https://www.stephenkamos.com/,CABARET,23/06/2023,17:25,18:05
87,ANAIS,http://anaïs jan (@anaisjan) • instagram photos and videos,NOWHERE,24/06/2023,15:00,16:00
88,ANALOG SOUL,https://ra.co/dj/analogsoul,GENOSYS SOUND SYSTEM,24/06/2023,01:00,02:30
89,ANDREW JENKINS - OFF TO SPACE,http://www.andrewoneill.co.uk,LABORATORY STAGE,22/06/2023,15:00,15:45
90,ANDREW JENKINS - OFF TO SPACE,,LABORATORY STAGE,23/06/2023,16:00,16:45
91,ANDREW JENKINS - OFF TO SPACE,,LABORATORY STAGE,24/06/2023,16:00,16:45
92,ANDREW MAXWELL MORRIS,,SMALL WORLD STAGE,23/06/2023,13:00,14:00
93,ANDREW MAXWELL MORRIS,https://www.allmusic.com/artist/andrew-maxwell-morris-mn0003552926,MANDALA STAGE,22/06/2023,12:00,13:00
94,ANDREW MAXWELL MORRIS,https://linktr.ee/andrewmmorris,BREAD AND ROSES,24/06/2023,14:00,14:40
95,ANDREW O'NEIL,https://www.andrewoneill.co.uk/,CABARET,24/06/2023,00:15,00:45
